clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.7,0.45,0.53,0.29,0.21,0.22,0.16,0.09,0.21,Action
0.68,0.41,0.3,0.41,0.16,0.24,0.19,0.09,0.23,Action
0.62,0.14,0.57,0.11,0.19,0.2,0.08,0.05,0.13,Action
0.93,0.92,0.83,0.15,0.43,0.3,0.16,0.16,0.18,Action
1,0.55,0.69,0.61,0.4,0.32,0.24,0.2,0.16,Action
0.56,0.41,0.21,0.38,0.17,0.36,0.37,0.16,0.3,Biography
0.76,0.45,0.32,0.26,0.23,0.32,0.24,0.13,0.21,Drama
0.73,0.2,0.33,0.18,0.17,0.28,0.15,0.07,0.17,Drama
0.18,0.27,0.05,0.4,0.04,0.22,0.19,0.05,0.28,Adventure
0.49,0.35,0.31,0.31,0.22,0.39,0.32,0.17,0.27,Comedy
0.49,0.5,0.54,0.14,0.15,0.15,0.09,0.05,0.22,Drama
0.87,0.58,0.74,0.66,0.48,0.7,0.52,0.45,0.2,Comedy
0.28,0.37,0.11,0.52,0.07,0.18,0.19,0.06,0.31,Action
0.9,0.32,0.73,0.09,0.4,0.27,0.11,0.11,0.09,Drama
0.79,0.54,0.39,0.44,0.49,0.69,0.61,0.53,0.23,Drama
0.79,0.41,0.43,0.27,0.23,0.31,0.2,0.11,0.2,Comedy
0.32,0.43,0.3,0.25,0.11,0.2,0.21,0.08,0.36,Action
0.62,0.37,0.19,0.42,0.09,0.19,0.18,0.06,0.29,Drama
0.7,0.35,0.39,0.28,0.17,0.25,0.17,0.08,0.23,Crime
0.8,0.49,0.18,0.52,0.2,0.48,0.46,0.22,0.22,Drama
0.69,0.54,0.81,0.16,0.61,0.41,0.18,0.23,0.11,Action
0.63,0.44,0.28,0.53,0.18,0.35,0.36,0.16,0.35,Comedy
0.51,0.42,0.29,0.44,0.16,0.28,0.28,0.12,0.33,Adventure
0.75,0.64,0.62,0.48,0.47,0.48,0.41,0.36,0.28,Adventure
0.82,0.55,0.42,0.55,0.34,0.54,0.52,0.35,0.26,Comedy
0.62,0.26,0.25,0.32,0.13,0.27,0.18,0.07,0.21,Comedy
0.59,0.42,0.24,0.39,0.2,0.4,0.4,0.19,0.3,Comedy
0.66,0.57,0.17,0.5,0.23,0.58,0.92,0.46,0.41,Drama
0.68,0.14,0.29,0.17,0.14,0.24,0.11,0.05,0.16,Crime
0.59,0.67,0.54,0.52,0.39,0.41,0.38,0.29,0.31,Crime
0.68,0.38,0.27,0.28,0.14,0.24,0.17,0.07,0.2,Comedy
0.75,0.46,0.42,0.29,0.37,0.43,0.29,0.22,0.19,Drama
0.79,0.46,0.71,0.17,0.48,0.34,0.16,0.17,0.12,Adventure
0.9,0.52,0.6,0.18,0.23,0.18,0.12,0.08,0.18,Action
0.66,0.5,0.68,0.2,0.31,0.34,0.19,0.13,0.23,Action
0.77,0.29,0.33,0.19,0.34,0.51,0.35,0.24,0.24,Crime
0.63,0.31,0.4,0.25,0.15,0.24,0.16,0.07,0.22,Comedy
0.77,0.44,0.43,0.51,0.27,0.38,0.33,0.19,0.3,Drama
0.78,0.45,0.18,0.55,0.12,0.29,0.3,0.11,0.32,Action
0.58,0.3,0.5,0.19,0.25,0.26,0.13,0.09,0.17,Crime
0.75,0.57,0.44,0.38,0.3,0.4,0.42,0.26,0.36,Action
0.75,0.55,0.49,0.58,0.29,0.39,0.35,0.22,0.26,Comedy
0.59,0.56,0.51,0.39,0.26,0.24,0.18,0.11,0.24,Biography
0.67,0.49,0.45,0.26,0.4,0.49,0.36,0.28,0.27,Action
0.48,0.27,0.15,0.38,0.11,0.29,0.29,0.1,0.32,Crime
